"Cell
type","Location in the
mucosa",Function
,"Epithelium/intestinal
glands",
,"Epithelium/intestinal
glands",
,Intestinal glands,
,"Intestinal glands of
duodenum",
,"Intestinal glands of
duodenum",
,Intestinal glands,
,"Intestinal glands of
duodenum and
jejunum",
,Intestinal glands,
