Neural tube,"Primary vesicle
stage","Secondary vesicle
stage","Adult
structures",Ventricles
,Mesencephalon,Mesencephalon,Midbrain,
,Rhombencephalon,Metencephalon,Pons cerebellum,
,Rhombencephalon,Myelencephalon,Medulla,
,,,Spinal cord,
