"Enzyme
Category","Enzyme
Name",Source,Substrate,Product
,Lingual lipase,"Lingual
glands",Triglycerides,
,"Salivary
amylase","Salivary
glands",Polysaccharides,
,Gastric lipase,Chief cells,Triglycerides,
,Pepsin*,Chief cells,Proteins,
,α-Dextrinase,"Small
intestine",α-Dextrins,
,Enteropeptidase,"Small
intestine",Trypsinogen,
